dd,inside,outside,hour,kwhdd,hourdd,solar_total,solar_total_yesterday,solar

2023-10-23T21:59:59.331346+00:00 8.88,18.34,9.12,0.0,0.0,0.0,5328.528,5318.54,9.988
2023-10-24T21:59:59.418766+00:00 7.14,18.15,10.86,2.95,0.82,0.41,5341.099,5328.528,12.571
2023-10-25T21:59:32.494092+00:00 8.98,18.25,9.02,2.96,0.68,0.33,5342.724,5341.099,1.625
2023-10-26T21:59:32.319431+00:00 9.07,18.1,8.93,0.23,0.05,0.03,5348.934,5342.724,6.21
2023-10-27T21:59:32.087560+00:00 7.49,17.78,10.51,2.76,1.74,0.37,5357.866,5348.934,8.932
2023-10-28T21:59:32.425374+00:00 6.68,18.09,11.32,3.03,1.9,0.45,5370.448,5357.866,12.582
2023-10-29T22:59:32.319729+00:00 5.69,18.51,12.31,0.0,0.0,0.0,5381.719,5370.448,11.271
2023-10-30T22:59:32.324741+00:00 7.31,18.17,10.69,2.13,2.55,0.29,5386.284,5381.719,4.565
2023-10-31T22:59:32.324928+00:00 7.87,18.34,10.13,2.57,3.07,0.33,5391.471,5386.284,5.187
2023-11-01T22:59:32.238941+00:00 7.25,18.44,11.41,0.0,0.0,0.0,5401.142,5391.471,9.671
2023-11-02T22:59:32.241971+00:00 8.16,17.95,10.58,2.96,0.74,0.36,5406.716,5401.142,5.574
2023-11-03T22:59:32.263929+00:00 10.42,17.72,8.53,2.2,0.81,0.21,5420.426,5406.716,13.71
2023-11-04T22:59:32.241947+00:00 10.2,17.7,8.73,3.43,1.31,0.34,5423.768,5420.426,3.342
2023-11-05T22:59:32.279322+00:00 9.38,17.94,9.47,3.17,2.71,0.34,5426.988,5423.768,3.22
2023-11-06T22:59:32.242794+00:00 10.02,17.9,8.89,0.0,0.0,0.0,5436.192,5426.988,9.204
2023-11-07T22:59:32.290960+00:00 10.79,17.57,8.19,2.96,1.31,0.27,5450.971,5436.192,14.779
2023-11-08T22:59:32.291828+00:00 10.86,17.7,8.13,2.78,1.07,0.26,5460.1,5450.971,9.129
2023-11-09T22:59:32.303501+00:00 10.24,17.65,8.69,1.42,2.13,0.14,5470.815,5460.1,10.715
2023-11-10T22:59:32.458039+00:00 12.23,16.81,6.88,2.87,0.48,0.23,5474.797,5470.815,3.982
2023-11-11T22:59:32.459778+00:00 12.94,17.18,6.24,3.14,0.5,0.24,5488.52,5474.797,13.723
2023-11-12T22:59:32.462220+00:00 14.45,16.95,4.86,3.5,0.5,0.24,5493.445,5488.52,4.925
2023-11-13T22:59:32.462167+00:00 8.49,17.03,10.28,3.19,0.77,0.38,5495.583,5493.445,2.138
2023-11-14T22:59:32.338942+00:00 8.61,17.39,10.17,2.91,0.89,0.34,5498.027,5495.583,2.444
2023-11-15T22:59:32.195198+00:00 9.83,17.75,9.06,2.88,0.83,0.29,5508.712,5498.027,10.685
2023-11-16T22:59:32.494182+00:00 12.8,17.6,6.36,1.28,0.2,0.1,5510.667,5508.712,1.955
2023-11-17T22:59:32.313666+00:00 13.35,17.2,5.86,2.97,0.45,0.22,5519.409,5510.667,8.742
2023-11-18T22:59:32.080909+00:00 11.84,17.15,7.24,3.42,0.59,0.29,5520.258,5519.409,0.849
2023-11-19T22:59:32.073661+00:00 7.3,17.48,11.36,1.9,0.52,0.26,5531.108,5520.258,10.85
2023-11-20T22:59:32.430054+00:00 9.91,17.89,8.99,2.48,0.5,0.25,5537.503,5531.108,6.395
